source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp
427593857229418752,10.761322477855233,0.36269465,61.81364791917403,0.40510163,0.053779514078617884,0.523811,-1.4748665509351988,0.50349104,-0.6805427340164643,0.6560906,20.300423,2.1087208
427593857229421696,10.770733562131623,0.7966091,61.81269520266955,0.8169153,1.2780906230309146,1.1093755,-0.7054236516922123,1.1153485,2.9231399274196805,1.5171685,20.696764,2.2166939
427593857230518784,10.783567303326798,3.8701818,61.81783254962414,1.569968,,,,,,,20.967934,2.0166245
427593857232878336,10.764409841474235,0.04280321,61.82469211067729,0.044905353,2.926265407463701,0.06225094,3.7995246867880144,0.055437285,-3.6625674531204844,0.06642363,14.834231,1.5851479
427593857232878720,10.762285984653559,0.055309746,61.82310641400012,0.054752782,0.5707534656768389,0.07903231,2.2708555320769066,0.07259631,-3.2611755919118943,0.07836237,17.272753,1.8413544
427593857232879616,10.78763342145466,0.08688643,61.81596475612148,0.091230795,0.2852309159125815,0.122707605,-0.8414692088948847,0.11425507,-0.11982105974102703,0.13884085,18.211699,2.0469322
427593857235715456,10.788827957330438,0.26791105,61.80668336164103,0.28405294,-0.13372138683649326,0.38108683,-6.7398227229362675,0.3445583,1.8439634263171665,0.43265843,13.986629,1.4002781
427593887293737344,10.811069163737006,1.1181339,61.819889008895125,1.3340744,2.7096550944778803,1.6650777,25.796341219789376,1.4655112,-11.448001594280118,1.7839127,20.910645,2.3448868
427593891587082496,10.803649373382896,0.31777272,61.81994671008358,0.46092665,0.4946123411816421,0.4653245,-4.779683852710026,0.44043577,1.8469436736669607,0.6849682,19.916248,
427593891590945536,10.823317996731411,1.453048,61.80423029586205,1.1818376,,,,,,,20.895597,1.7748795
427593891592617472,10.8029735559021,0.28633186,61.81987415599255,0.2855181,-0.6068494742867249,0.40756282,-3.686922334023292,0.36089343,-0.19398787800592315,0.38585624,19.57698,2.2654781
427593921651443968,10.829488072938064,0.111587934,61.81502336527577,0.11976663,0.39861228895716105,0.16096506,-4.70660673837412,0.14496158,-1.3973852789899066,0.17871481,18.578985,2.1860447
427593921651473152,10.833046838480639,0.34674373,61.82227336522932,0.3968845,0.3075636229287829,0.49538818,-1.8523921244360608,0.48889655,-0.39650052680427084,0.6542112,20.22602,2.597969
427593921651476608,10.822844379041827,0.2125634,61.82313511461788,0.2379813,1.3963182640569265,0.3153701,-2.072739791711019,0.27795196,-2.3189138765214343,0.33023965,19.493895,2.7460575
427593921651513600,10.8124617581345,0.097724855,61.83060914794875,0.1083822,0.0027829693254704524,0.14235371,-1.9614876913555428,0.13592105,-0.4735124903890711,0.16528709,18.425112,2.274887
427593921651513728,10.814763919300479,0.12327775,61.83170208409862,0.13665354,1.1312801294203418,0.17877974,12.22755239632673,0.16956434,8.665207589985364,0.20646907,18.852457,2.5237713
427593925946826112,10.826280038918283,0.32563502,61.818075304470526,0.34592375,-0.7196835121686787,0.48230496,-6.045355024581818,0.40971866,-2.565564307038451,0.49664018,20.052822,2.1686554
427593925948899712,10.801418163509819,0.3649343,61.828046217988216,0.4119436,0.17553922573253303,0.5334132,-3.289612840819975,0.50872356,-1.2359672744576926,0.66911894,20.322813,1.9348183
427593925948907008,10.820423233017065,0.8255735,61.819081613931914,1.0074604,1.7502774546126505,1.2795037,-7.456744964977891,1.0184435,2.6435360402861523,1.5277959,20.765467,
